#{"t_start": 1589749273.234755, "env_id": "ct_rk_cartpole_swingupsafe_dm-v1"}
r,l,t
546.914269,2001,314.537308
566.238449,2001,318.779233
492.31826,2001,320.860512
565.884982,2001,322.890347
641.433334,2001,325.389342
559.831484,2001,327.447623
499.613257,2001,331.574622
525.310572,2001,333.63559
464.54138,2001,336.46192
532.158481,2001,338.563855
450.324652,2001,340.633936
487.054698,2001,344.754108
469.019339,2001,346.890628
479.391763,2001,349.41073
635.206397,2001,351.444177
518.430088,2001,353.478402
519.740037,2001,357.60909
633.46371,2001,360.16994
513.051575,2001,362.205109
522.490718,2001,364.329807
536.351665,2001,366.703631
432.627121,2001,371.336508
593.676203,2001,373.40921
559.199363,2001,375.457599
709.547179,2001,377.507252
494.963499,2001,380.038794
564.001673,2001,384.174104
634.032981,2001,386.257953
575.675585,2001,388.293392
560.454809,2001,390.911825
535.237372,2001,392.981173
562.983021,2001,397.446974
578.944857,2001,399.517089
560.201197,2001,402.052563
583.445472,2001,404.111537
580.233392,2001,406.149932
484.206876,2001,410.277516
623.227113,2001,412.827655
535.192326,2001,414.946404
580.900202,2001,417.034602
628.640064,2001,419.072995
599.600837,2001,423.663073
584.62871,2001,425.998059
566.192516,2001,428.095422
573.41227,2001,430.125178
700.556772,2001,432.652813
677.687367,2001,436.778009
615.79659,2001,438.854517
641.472526,2001,440.898653
571.260552,2001,443.399952
609.926442,2001,445.470938
598.886332,2001,449.592568
504.165112,2001,451.660836
581.742181,2001,454.127455
575.846218,2001,456.525137
558.451301,2001,458.596068
611.483865,2001,462.686207
568.427993,2001,464.765229
657.566055,2001,467.297368
565.565171,2001,469.363679
554.155351,2001,471.390474
607.33494,2001,475.507907
615.38716,2001,478.106115
597.663652,2001,480.163657
683.291722,2001,482.188882
646.752872,2001,484.241032
579.74397,2001,489.198637
621.616413,2001,491.267645
633.598041,2001,493.296307
626.649365,2001,495.352596
543.353755,2001,497.905976
561.468016,2001,502.079946
609.807769,2001,504.175897
605.182905,2001,506.208833
567.689577,2001,508.701598
556.375816,2001,510.790564
642.0217,2001,514.919301
603.353655,2001,517.070021
591.01515,2001,519.780933
557.860997,2001,521.832874
616.553521,2001,523.868774
625.36431,2001,528.006838
634.020116,2001,530.567138
589.085068,2001,532.627264
515.085686,2001,534.663265
587.582101,2001,536.775617
588.811549,2001,541.361585
712.927911,2001,543.429194
656.888843,2001,545.500129
619.707256,2001,547.714226
616.915089,2001,550.296263
567.402129,2001,554.430126
600.383772,2001,556.510604
649.293853,2001,558.542579
685.168716,2001,561.031792
658.080426,2001,563.116737
635.560312,2001,567.257077
668.884941,2001,569.316904
647.827521,2001,571.780581
637.699001,2001,573.895594
579.774589,2001,575.977523
623.713251,2001,580.452993
620.475183,2001,582.527384
555.914545,2001,585.036942
570.817421,2001,587.11282
601.249482,2001,589.239808
594.94491,2001,593.40458
586.482148,2001,595.908852
523.247918,2001,597.967568
638.955746,2001,600.012909
523.655048,2001,602.084312
590.48955,2001,606.710272
626.34424,2001,608.950193
616.48567,2001,611.103978
592.271232,2001,613.155829
621.698476,2001,615.643066
552.351731,2001,619.802669
662.862169,2001,621.883651
579.801457,2001,623.943324
523.80802,2001,626.405124
522.704385,2001,628.494091
660.75632,2001,632.616868
514.691515,2001,634.700159
638.534299,2001,637.223706
698.429396,2001,639.442672
692.702432,2001,641.58386
725.189957,2001,645.71924
644.803787,2001,648.267648
602.942119,2001,650.335288
580.757897,2001,652.375351
510.846073,2001,654.4211
734.36865,2001,659.036184
596.086179,2001,661.112926
612.591584,2001,663.157775
677.406448,2001,665.210081
543.108327,2001,667.674314
544.295024,2001,672.266934
585.052722,2001,674.356703
642.236982,2001,676.418011
532.858653,2001,678.972969
705.003046,2001,681.094114
684.336757,2001,685.243307
636.931799,2001,687.310116
589.235355,2001,689.373827
610.011551,2001,691.889653
708.136511,2001,693.932345
